country,year,sex,age,suicides_no,population,suicides_pop,gdp_for_year,gdp_per_capita,PCA_1,PCA_2
Albania,1987,male,15-24,21,312900,6.71,2156624900,796 , -0.7474012678135367 , 0.19892351356381455
Albania,1987,male,35-54,16,308000,5.19,2156624900,796 , -0.7625456667743996 , 0.13669734269626038
Albania,1987,female,15-24,14,289700,4.83,2156624900,796 , -0.7691876812847892 , 0.12196451657936964
Albania,1987,male,75+,1,21800,4.59,2156624900,796 , -0.8189018497586981 , 0.11240770348723873
Albania,1987,male,25-34,9,274300,3.28,2156624900,796 , -0.7861396013449251 , 0.058738533159422845
Albania,1987,female,75+,1,35600,2.81,2156624900,796 , -0.8302858735320164 , 0.04140079160851702
Albania,1987,female,35-54,6,278800,2.15,2156624900,796 , -0.7957548906155144 , 0.012600973304874044
Albania,1987,female,25-34,4,257200,1.56,2156624900,796 , -0.8046330781768521 , -0.011213632119275126
Albania,1987,male,55-74,1,137500,0.73,2156624900,796 , -0.8306763327807848 , -0.04314745504975828
Albania,1987,female,05-14,0,311000,0.0,2156624900,796 , -0.8106611142961127 , -0.07572742597010047
Albania,1987,female,55-74,0,144600,0.0,2156624900,796 , -0.8357105407388318 , -0.07267413741482726
Albania,1987,male,05-14,0,338200,0.0,2156624900,796 , -0.8065664965122065 , -0.07622652121471243
Albania,1988,female,75+,2,36400,5.49,2126000000,769 , -0.8096125705678926 , 0.14900074096392835
Albania,1988,male,15-24,17,319200,5.33,2126000000,769 , -0.7595157959937912 , 0.14314332450931816
Albania,1988,male,75+,1,22300,4.48,2126000000,769 , -0.819955701709766 , 0.10873326467345397
Albania,1988,male,35-54,14,314100,4.46,2126000000,769 , -0.76860996670766 , 0.1075167252175718
Albania,1988,male,55-74,4,140200,2.85,2126000000,769 , -0.8127874272493462 , 0.042916920281135446
Albania,1988,female,15-24,8,295600,2.71,2126000000,769 , -0.7881233947774159 , 0.03601833141466047
Albania,1988,female,55-74,3,147500,2.03,2126000000,769 , -0.8184721623379624 , 0.009809134109631256
Albania,1988,female,25-34,5,262400,1.91,2126000000,769 , -0.8009182844740953 , 0.003689790206105084
Albania,1988,male,25-34,5,279900,1.79,2126000000,769 , -0.7991913924689235 , -0.0014012308513286654
Albania,1988,female,35-54,4,284500,1.41,2126000000,769 , -0.8019550315844407 , -0.0169697972032529
Albania,1988,female,05-14,0,317200,0.0,2126000000,769 , -0.8100250162108081 , -0.07513403527693942
Albania,1988,male,05-14,0,345000,0.0,2126000000,769 , -0.8058400759757866 , -0.07564413997547653
Albania,1989,male,75+,2,22500,8.89,2335124988,833 , -0.7852347453128876 , 0.28270245103018077
Albania,1989,male,25-34,18,283600,6.35,2335124988,833 , -0.7558213163178102 , 0.1830193947182536
Albania,1989,male,35-54,15,318400,4.71,2335124988,833 , -0.7647322512879521 , 0.11605373150587356
Albania,1989,male,55-74,6,142100,4.22,2335124988,833 , -0.8002185613426636 , 0.09639658216208563
Albania,1989,male,15-24,12,323500,3.71,2335124988,833 , -0.7732740792201414 , 0.0750725668473997
Albania,1989,female,35-54,7,288600,2.43,2335124988,833 , -0.7911195750987121 , 0.022936692645402882
Albania,1989,female,15-24,5,299900,1.67,2335124988,833 , -0.7963307247508418 , -0.008238973147183895
Albania,1989,female,25-34,2,266300,0.75,2335124988,833 , -0.810093342233964 , -0.04533008670440269
Albania,1989,female,55-74,1,149600,0.67,2335124988,833 , -0.8288483881690987 , -0.04674812849290219
Albania,1989,female,05-14,0,321900,0.0,2335124988,833 , -0.808560058177141 , -0.07692112451308712
Albania,1989,female,75+,0,37000,0.0,2335124988,833 , -0.8514481687151864 , -0.07169346880757438
Albania,1989,male,05-14,0,349700,0.0,2335124988,833 , -0.8043751179421196 , -0.07743122921162432
Albania,1992,male,35-54,12,343800,3.49,709452584,251 , -0.7786629274229718 , 0.08137253473438462
Albania,1992,male,15-24,9,263700,3.41,709452584,251 , -0.7930729451343235 , 0.07852403774866844
Albania,1992,male,55-74,5,159500,3.13,709452584,251 , -0.8132057566443387 , 0.06778846126737363
Albania,1992,male,25-34,7,245500,2.85,709452584,251 , -0.801212427267915 , 0.055839523415096196
